,id,url,title,year,genre,certificate,runtime,imdb_rating,metascore
0,tt1477834,/title/tt1477834/,Aquaman,2018,"['Action', ' Adventure', ' Fantasy']",PG-13,143,68.0,55.0
1,tt1879016,/title/tt1879016/,Operation Mincemeat,2021,"['Drama', ' War']",PG-13,128,67.0,
2,tt4513678,/title/tt4513678/,Ghostbusters: Afterlife,2021,"['Adventure', ' Comedy', ' Fantasy']",PG-13,124,71.0,45.0
3,t10954652,/title/tt10954652/,Old,2021,"['Drama', ' Horror', ' Mystery']",PG-13,108,58.0,55.0
4,t10872600,/title/tt10872600/,Spider-Man: No Way Home,2021,"['Action', ' Adventure', ' Fantasy']",PG-13,148,83.0,
5,tt0376136,/title/tt0376136/,The Rum Diary,2011,"['Comedy', ' Drama']",R,119,61.0,56.0
6,tt1189340,/title/tt1189340/,The Lincoln Lawyer,2011,"['Crime', ' Drama', ' Mystery']",R,118,73.0,
7,tt1160419,/title/tt1160419/,Dune,2021,"['Action', ' Adventure', ' Drama']",PG-13,155,81.0,
8,tt1856101,/title/tt1856101/,Blade Runner 2049,2017,"['Action', ' Drama', ' Mystery']",R,164,80.0,
9,tt7131622,/title/tt7131622/,Once Upon a Time... In Hollywood,2019,"['Comedy', ' Drama']",R,161,76.0,
10,tt1790809,/title/tt1790809/,Pirates of the Caribbean: Dead Men Tell No Tales,2017,"['Action', ' Adventure', ' Fantasy']",PG-13,129,65.0,
11,tt8367814,/title/tt8367814/,The Gentlemen,2019,"['Action', ' Comedy', ' Crime']",R,113,78.0,51.0
12,tt7144666,/title/tt7144666/,The Black Phone,2021,['Horror'],R,102,73.0,
13,t10838180,/title/tt10838180/,The Matrix Resurrections,2021,"['Action', ' Sci-Fi']",R,148,57.0,
14,tt9032400,/title/tt9032400/,Eternals,2021,"['Action', ' Adventure', ' Fantasy']",PG-13,156,63.0,52.0
15,tt2382320,/title/tt2382320/,No Time to Die,2021,"['Action', ' Adventure', ' Thriller']",PG-13,163,73.0,
16,tt4154796,/title/tt4154796/,Avengers: Endgame,2019,"['Action', ' Adventure', ' Drama']",PG-13,181,84.0,
17,tt1211837,/title/tt1211837/,Doctor Strange,2016,"['Action', ' Adventure', ' Fantasy']",PG-13,115,75.0,
18,tt0369610,/title/tt0369610/,Jurassic World,2015,"['Action', ' Adventure', ' Sci-Fi']",PG-13,124,69.0,59.0
19,tt0810819,/title/tt0810819/,The Danish Girl,2015,"['Biography', ' Drama', ' Romance']",R,119,71.0,
20,tt6398184,/title/tt6398184/,Downton Abbey,2019,"['Drama', ' Romance']",PG,122,74.0,
21,tt3794354,/title/tt3794354/,Sonic the Hedgehog,2020,"['Action', ' Adventure', ' Comedy']",PG,99,65.0,47.0
22,tt8772262,/title/tt8772262/,Midsommar,2019,"['Drama', ' Horror', ' Mystery']",R,148,71.0,
